,OP1,,OP2,,OP3,,OP4,,OP5,,OP6,,OP7,,OP8,,OP9,,OP10,,OP11,,OP12,,OP13,,OP14,,count,avg
Percent of students who are Male,0,0.007830383,0.538757671,0.51104822,0.008818887,0,0,0.017919322,0,0.00670673,0,0.010791034,0.015941182,0,0,0,0.250085408,0.050575179,0.109879047,0.049794716,0,0,0,0.017720582,0.004481088,0.03118084,0,0.048929619,16,0.003058101
Percent of Students with Disabilities,0,0,0.022440819,0.016419192,0,0,0,0,0,0.008854429,0,0.010791034,0.025648091,0.05980184,0,0.016084509,0.09429788,0.108404136,0,0.01048994,0,0.041469108,0,0.018871452,0.050000792,0.135856456,0,0,14,0
Number of Students Enrolled in Grade 6,0,0,0.03586015,0.013531781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03052224,0.006805691,0,0,0,4,0
Percent of Students who are Asian,0,0,0,0.008979192,0,0.067876846,0.113261185,0.101548541,0.164067735,0.060796552,0.125007114,0.053785724,0,0,0,0,0.009955626,0.024163815,0,0.010254252,0,0,0,0,0,0,0,0,11,0
Percent of Population with Arab Ancestry,0,0,0.027593174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Median Family Income,0,0,0.018870746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Percent of Employed Civilians with Production, Transportation and Material Moving Occupations",0,0,0.01611141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Population with Lithuanian Ancestry,0,0,0.007835939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Population over 25 whose highest level of education is an Associate''s Degree',0,0,0,0,0.034438785,0.005862736,0.022031296,0.00908867,0,0.008386106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Percent of Females over 16 that are Married,0,0,0,0,0.028498503,0,0,0,0,0,0,0,0.013115601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Percent of Students who are Native Hawaiian or Pacific Islander,0,0,0,0,0.020775163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Females over 16 that are have Never Married,0,0,0,0,0.014124609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003735922,0,0,0,0,0,0,0,0,0,2,0
Percent of Multi-Racial Non-Hispanic Students,0,0,0,0,0.013957169,0.019867327,0,0,0,0.008874745,0,0,0,0,0,0,0,0,0,0,0,0,0.03595013,0,0,0,0,0,4,0
Percent of Population with German Ancestry,0,0,0,0,0.012953777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Males over 16 that are Divorced,0,0,0,0,0,0.005116617,0,0,0,0,0,0,0,0,0,0,0.012046326,0,0,0,0,0,0.098869316,0,0,0,0,0,3,0
Percent of Students who are Economically Disadvantaged,0,0,0,0,0,0,0.04060707,0.208780506,0,0,0,0,0.355488384,0.482131759,0,0,0,0,0,0,0.912489134,0.679766035,0,0,0,0,0,0.054075644,7,0.007725092
Average Salary,0,0,0,0,0,0,0,0.006288238,0,0.0057464,0,0.010402964,0,0,0,0,0,0,0.034223296,0,0,0,0,0,0,0,0.010356967,0,5,0
Average Expenditures per Pupil,0,0,0,0,0,0,0.024952032,0.005430537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Percent of Females over 16 that are Divorced,0,0,0,0,0,0,0.018258491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Non-Mortagaged Owners with Housing Costs between 20% and 24.9% of Household Income,0,0,0,0,0,0,0.01604022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Students who are English Language Learners,0,0,0,0,0,0,0.015031852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Foreign Born Population born in Europe,0,0,0,0,0,0,0,0,0.058417034,0,0,0,0,0,0,0,0,0,0,0,0.087510866,0.061790655,0,0,0,0,0,0,3,0
Percent of Students who are African American,0,0,0,0,0,0,0,0,0,0,0,0.00920336,0.068118359,0,0.098603982,0.020488697,0,0.016075201,0,0,0,0,0,0,0,0.006374046,0,0,6,0
Percent of Population with Italian Ancestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171277426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Average Class Size,0,0,0,0,0,0,0,0,0,0,0,0,0.017535475,0.059526164,0,0,0,0.024496763,0,0.03050982,0,0,0,0.012955934,0.003724561,0.062600473,0,0,7,0
Number of Students Enrolled in PK,0,0,0,0,0,0,0,0,0,0,0,0,0.014914474,0.054970498,0,0,0,0,0,0,0,0,0,0.012550938,0,0,0,0,3,0
Number of Students Enrolled in Grade 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027937719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Population Aged between 55 and 59 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016538467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Students who are Native American,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014055336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
School Accountability and Assistance Level,0,0,0,0,0,0,0,0,0,0,0,0,0.022223743,0,0.067781054,0.04050388,0,0,0,0.009140464,0,0.012906309,0.016859046,0,0,0,0.069740514,0.057520033,8,0.007190004
Percent of Population Aged between 35 and 44 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038026441,0.015080327,0,0,0,0,0,0,0.055703662,0.019021743,0,0,0,0,4,0
Percent of Student whose First Language is Not English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011214063,0.025212734,0,0,0,0,0,0,0,0,0.008591246,0.032622106,0,4,0
Number of Students Enrolled in Grade 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039220699,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Employed Civilians in Arts Entertainment and Recreation or Accomodation and Food Services Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033684119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Population that is Foreign Born,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012634816,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Population Aged between 5 and 9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011298957,0,0.024688392,0,0,0,0,0,0,0,0,0,0,0,2,0
Percent of Employed Civilians in the Construction Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023311085,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Population with Slovakian Ancestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007876537,0,0,0,0,0,0,0,0,0,0,0,1,0
Percent of Population with Norwegian Ancestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006363716,0,0,0,0,0,0,0,0,0,0,0,1,0
District Accountability and Assistance Level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017367569,0,0,0,0,0,0,0,0.02947201,0.031139439,0.009911023,4,0.002477756
Number of Students Enrolled in Grade 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014495716,0,0,0,0,0,0,0,0.018148618,0,0,2,0
Average In-District Expenditures per Pupil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009600245,0,0,0,0,0,0,0,0,0,1,0
Percent of Families with an Income between $35000 and $49999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008910166,0,0,0,0,0,0,0,0,0,1,0
Percent of Population over 25 whose highest level of education is an Associate's Degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006893004,0,0,0,0,0,0,0,0,0,1,0
Percent of Housing Units Lacking Telephone Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004063182,0,0,0,0,0,0,0,0,0,1,0
Percent of Housing Units with an Occupant per Room Ratio above 1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026082584,0,0,0,0,0,0,1,0
Total Population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017826333,0,0,0,0,0,0,1,0
Percent of Families with an Income between $100000 and $149999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011691736,0,0,0,0,0,0,1,0
Percent of Renters with a Gross Rent between 15% and 19.9%  percent of Household Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011475904,0,0,0,0,0,0,1,0
Percent of Population with Scotch-Irish Ancestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072886257,0,0,0,0,0,1,0
Number of Students Enrolled in Grade 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027270262,0,0,0,0,0,1,0
Percent of Males over 16 that are Widowed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021846659,0,0,0,0,0,1,0
Percent of Population over 25 whose highest level of education is a Graduate or Professional Degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01691015,0,0.02353468,0,0,0,2,0
Percent of Males over 16 that are Married,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036079338,0,0,0,0,1,0
Percent of Population over 25 whose highest level of education is Some College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025342781,0,0,0,1,0
Percent of Foreign Born Population born in Northern America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506113,0,0,0,1,0
Percent of N0n-Mortagaged Owners with Housing Costs between 15% and 19.9% of Household Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004217693,0,0,0,1,0
Percent of Foreign Born Population born in Latin America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084583439,0,1,0
School Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019976531,0,1,0
Percent of Population with English Ancestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011775522,0,1,0
"Percent of Families with an Income between $35000 and $49999,0.011443833424896,
Percent of Employed Civilians in Arts Entertainment and Recreation or Accomodation and Food Services Industry""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01119314,0,1,0

